/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset computers train_idx: 2007, val_idx: 669, test_idx: 10705
Debug: Dataset computers train_idx: 10, val_idx: 10, test_idx: 10
Dataset: computers | #Nodes: 13381 | #Edges: 491556 | #Classes: 10 |#Features: 767
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00120 | Loss(train) 1.0716 | Acc(train) 0.6393 | Acc(val) 0.6861 |
Epoch 00121 | Loss(train) 1.0465 | Acc(train) 0.6418 | Acc(val) 0.7190 |
Epoch 00122 | Loss(train) 1.0487 | Acc(train) 0.6278 | Acc(val) 0.7309 |
Epoch 00123 | Loss(train) 1.0357 | Acc(train) 0.6358 | Acc(val) 0.7220 |
Epoch 00124 | Loss(train) 1.0406 | Acc(train) 0.6442 | Acc(val) 0.7085 |
Epoch 00125 | Loss(train) 1.0647 | Acc(train) 0.6398 | Acc(val) 0.6951 |
Epoch 00126 | Loss(train) 1.0741 | Acc(train) 0.6398 | Acc(val) 0.7070 |
Epoch 00127 | Loss(train) 1.0594 | Acc(train) 0.6418 | Acc(val) 0.7250 |
Epoch 00128 | Loss(train) 1.0182 | Acc(train) 0.6437 | Acc(val) 0.7115 |
Epoch 00129 | Loss(train) 1.0276 | Acc(train) 0.6517 | Acc(val) 0.6966 |
Epoch 00130 | Loss(train) 1.0566 | Acc(train) 0.6452 | Acc(val) 0.6891 |
Epoch 00131 | Loss(train) 1.0367 | Acc(train) 0.6398 | Acc(val) 0.6846 |
Epoch 00132 | Loss(train) 1.0481 | Acc(train) 0.6472 | Acc(val) 0.7070 |
Epoch 00133 | Loss(train) 1.0224 | Acc(train) 0.6587 | Acc(val) 0.7474 |*
Epoch 00134 | Loss(train) 1.0175 | Acc(train) 0.6512 | Acc(val) 0.7429 |
Epoch 00135 | Loss(train) 1.0442 | Acc(train) 0.6432 | Acc(val) 0.7220 |
Epoch 00136 | Loss(train) 1.0370 | Acc(train) 0.6467 | Acc(val) 0.7160 |
Epoch 00137 | Loss(train) 1.0187 | Acc(train) 0.6457 | Acc(val) 0.7190 |
Epoch 00138 | Loss(train) 1.0613 | Acc(train) 0.6418 | Acc(val) 0.7235 |
Epoch 00139 | Loss(train) 1.0133 | Acc(train) 0.6358 | Acc(val) 0.7145 |
Epoch 00140 | Loss(train) 1.0430 | Acc(train) 0.6398 | Acc(val) 0.7025 |
Epoch 00141 | Loss(train) 1.0063 | Acc(train) 0.6602 | Acc(val) 0.7205 |
Epoch 00142 | Loss(train) 1.0759 | Acc(train) 0.6368 | Acc(val) 0.7504 |*
Epoch 00143 | Loss(train) 1.0432 | Acc(train) 0.6428 | Acc(val) 0.7623 |*
Epoch 00144 | Loss(train) 1.0081 | Acc(train) 0.6477 | Acc(val) 0.7743 |*
Epoch 00145 | Loss(train) 0.9924 | Acc(train) 0.6667 | Acc(val) 0.7848 |*
Epoch 00146 | Loss(train) 1.0348 | Acc(train) 0.6363 | Acc(val) 0.7862 |*
Epoch 00147 | Loss(train) 1.0601 | Acc(train) 0.6432 | Acc(val) 0.7683 |
Epoch 00148 | Loss(train) 0.9906 | Acc(train) 0.6617 | Acc(val) 0.7593 |
Epoch 00149 | Loss(train) 1.1021 | Acc(train) 0.6457 | Acc(val) 0.7519 |
Epoch 00150 | Loss(train) 1.0018 | Acc(train) 0.6637 | Acc(val) 0.7414 |
Epoch 00151 | Loss(train) 0.9963 | Acc(train) 0.6532 | Acc(val) 0.7534 |
Epoch 00152 | Loss(train) 1.0075 | Acc(train) 0.6517 | Acc(val) 0.7564 |
Epoch 00153 | Loss(train) 1.0069 | Acc(train) 0.6582 | Acc(val) 0.7713 |
Epoch 00154 | Loss(train) 0.9957 | Acc(train) 0.6751 | Acc(val) 0.7788 |
Epoch 00155 | Loss(train) 1.0146 | Acc(train) 0.6582 | Acc(val) 0.7698 |
Epoch 00156 | Loss(train) 1.0010 | Acc(train) 0.6432 | Acc(val) 0.7593 |
Epoch 00157 | Loss(train) 0.9968 | Acc(train) 0.6647 | Acc(val) 0.7564 |
Epoch 00158 | Loss(train) 1.0136 | Acc(train) 0.6587 | Acc(val) 0.7608 |
Epoch 00159 | Loss(train) 0.9917 | Acc(train) 0.6612 | Acc(val) 0.7638 |
Epoch 00160 | Loss(train) 1.0482 | Acc(train) 0.6587 | Acc(val) 0.7788 |
Epoch 00161 | Loss(train) 0.9856 | Acc(train) 0.6637 | Acc(val) 0.7728 |
Epoch 00162 | Loss(train) 0.9917 | Acc(train) 0.6482 | Acc(val) 0.7564 |
Epoch 00163 | Loss(train) 0.9827 | Acc(train) 0.6707 | Acc(val) 0.7668 |
Epoch 00164 | Loss(train) 1.0226 | Acc(train) 0.6751 | Acc(val) 0.7773 |
Epoch 00165 | Loss(train) 0.9711 | Acc(train) 0.6831 | Acc(val) 0.7892 |*
Epoch 00166 | Loss(train) 1.0201 | Acc(train) 0.6542 | Acc(val) 0.7877 |
Epoch 00167 | Loss(train) 0.9804 | Acc(train) 0.6836 | Acc(val) 0.7833 |
Epoch 00168 | Loss(train) 0.9913 | Acc(train) 0.6741 | Acc(val) 0.7713 |
Epoch 00169 | Loss(train) 0.9757 | Acc(train) 0.6672 | Acc(val) 0.7653 |
Epoch 00170 | Loss(train) 0.9592 | Acc(train) 0.6786 | Acc(val) 0.7728 |
Epoch 00171 | Loss(train) 0.9831 | Acc(train) 0.6731 | Acc(val) 0.7773 |
Epoch 00172 | Loss(train) 0.9688 | Acc(train) 0.6682 | Acc(val) 0.7818 |
Epoch 00173 | Loss(train) 0.9809 | Acc(train) 0.6617 | Acc(val) 0.7773 |
Epoch 00174 | Loss(train) 0.9507 | Acc(train) 0.6741 | Acc(val) 0.7683 |
Epoch 00175 | Loss(train) 0.9757 | Acc(train) 0.6697 | Acc(val) 0.7758 |
Epoch 00176 | Loss(train) 0.9884 | Acc(train) 0.6692 | Acc(val) 0.7773 |
Epoch 00177 | Loss(train) 0.9609 | Acc(train) 0.6766 | Acc(val) 0.7803 |
Epoch 00178 | Loss(train) 0.9829 | Acc(train) 0.6821 | Acc(val) 0.7758 |
Epoch 00179 | Loss(train) 0.9729 | Acc(train) 0.6632 | Acc(val) 0.7758 |
Epoch 00180 | Loss(train) 1.0086 | Acc(train) 0.6712 | Acc(val) 0.7773 |
Epoch 00181 | Loss(train) 0.9738 | Acc(train) 0.6657 | Acc(val) 0.7788 |
Epoch 00182 | Loss(train) 0.9869 | Acc(train) 0.6667 | Acc(val) 0.7758 |
Epoch 00183 | Loss(train) 0.9630 | Acc(train) 0.6851 | Acc(val) 0.7713 |
Epoch 00184 | Loss(train) 0.9396 | Acc(train) 0.6846 | Acc(val) 0.7803 |
Epoch 00185 | Loss(train) 0.9739 | Acc(train) 0.6761 | Acc(val) 0.7788 |
Epoch 00186 | Loss(train) 0.9483 | Acc(train) 0.6712 | Acc(val) 0.7758 |
Epoch 00187 | Loss(train) 0.9413 | Acc(train) 0.6657 | Acc(val) 0.7773 |
Epoch 00188 | Loss(train) 0.9580 | Acc(train) 0.6667 | Acc(val) 0.7803 |
Epoch 00189 | Loss(train) 0.9556 | Acc(train) 0.6826 | Acc(val) 0.7788 |
Epoch 00190 | Loss(train) 1.0210 | Acc(train) 0.6592 | Acc(val) 0.7877 |
Epoch 00191 | Loss(train) 0.9871 | Acc(train) 0.6647 | Acc(val) 0.7862 |
Epoch 00192 | Loss(train) 0.9446 | Acc(train) 0.6721 | Acc(val) 0.7848 |
Epoch 00193 | Loss(train) 0.9897 | Acc(train) 0.6687 | Acc(val) 0.7848 |
Epoch 00194 | Loss(train) 0.9716 | Acc(train) 0.6761 | Acc(val) 0.7833 |
Epoch 00195 | Loss(train) 0.9675 | Acc(train) 0.6736 | Acc(val) 0.7862 |
Epoch 00196 | Loss(train) 0.9593 | Acc(train) 0.6622 | Acc(val) 0.7773 |
Epoch 00197 | Loss(train) 0.9811 | Acc(train) 0.6622 | Acc(val) 0.7728 |
Epoch 00198 | Loss(train) 0.9571 | Acc(train) 0.6921 | Acc(val) 0.7833 |
Epoch 00199 | Loss(train) 0.9531 | Acc(train) 0.6811 | Acc(val) 0.7877 |
Epoch 00200 | Loss(train) 0.9371 | Acc(train) 0.6821 | Acc(val) 0.7818 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'TS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 64}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 767, 'out_dim': 10}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 128.61 MB
GPU Memory Reserved: 326.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.3271 | Acc(train) 0.1231 | Acc(val) 0.3558 |*
Epoch 00002 | Loss(train) 2.4152 | Acc(train) 0.3009 | Acc(val) 0.3558 |
