/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00115 | Loss(train) 0.8023 | Acc(train) 0.7177 | Acc(val) 0.8743 |
Epoch 00116 | Loss(train) 0.7678 | Acc(train) 0.7373 | Acc(val) 0.8556 |
Epoch 00117 | Loss(train) 0.7665 | Acc(train) 0.7302 | Acc(val) 0.8449 |
Epoch 00118 | Loss(train) 0.7730 | Acc(train) 0.7444 | Acc(val) 0.8610 |
Epoch 00119 | Loss(train) 0.7832 | Acc(train) 0.7248 | Acc(val) 0.8770 |
Epoch 00120 | Loss(train) 0.7470 | Acc(train) 0.7391 | Acc(val) 0.8797 |*
Epoch 00121 | Loss(train) 0.7902 | Acc(train) 0.7248 | Acc(val) 0.8476 |
Epoch 00122 | Loss(train) 0.7518 | Acc(train) 0.7391 | Acc(val) 0.8289 |
Epoch 00123 | Loss(train) 0.7948 | Acc(train) 0.7266 | Acc(val) 0.8422 |
Epoch 00124 | Loss(train) 0.7727 | Acc(train) 0.7320 | Acc(val) 0.8583 |
Epoch 00125 | Loss(train) 0.7690 | Acc(train) 0.7364 | Acc(val) 0.8717 |
Epoch 00126 | Loss(train) 0.7645 | Acc(train) 0.7329 | Acc(val) 0.8610 |
Epoch 00127 | Loss(train) 0.7866 | Acc(train) 0.7409 | Acc(val) 0.8503 |
Epoch 00128 | Loss(train) 0.7491 | Acc(train) 0.7364 | Acc(val) 0.8503 |
Epoch 00129 | Loss(train) 0.7660 | Acc(train) 0.7257 | Acc(val) 0.8556 |
Epoch 00130 | Loss(train) 0.7571 | Acc(train) 0.7284 | Acc(val) 0.8824 |*
Epoch 00131 | Loss(train) 0.7403 | Acc(train) 0.7480 | Acc(val) 0.8824 |
Epoch 00132 | Loss(train) 0.7425 | Acc(train) 0.7391 | Acc(val) 0.8770 |
Epoch 00133 | Loss(train) 0.7528 | Acc(train) 0.7569 | Acc(val) 0.8503 |
Epoch 00134 | Loss(train) 0.7384 | Acc(train) 0.7400 | Acc(val) 0.8529 |
Epoch 00135 | Loss(train) 0.7007 | Acc(train) 0.7587 | Acc(val) 0.8877 |*
Epoch 00136 | Loss(train) 0.7484 | Acc(train) 0.7489 | Acc(val) 0.8743 |
Epoch 00137 | Loss(train) 0.7450 | Acc(train) 0.7400 | Acc(val) 0.8743 |
Epoch 00138 | Loss(train) 0.7340 | Acc(train) 0.7462 | Acc(val) 0.8529 |
Epoch 00139 | Loss(train) 0.7329 | Acc(train) 0.7409 | Acc(val) 0.8449 |
Epoch 00140 | Loss(train) 0.7484 | Acc(train) 0.7453 | Acc(val) 0.8770 |
Epoch 00141 | Loss(train) 0.7413 | Acc(train) 0.7516 | Acc(val) 0.8824 |
Epoch 00142 | Loss(train) 0.7151 | Acc(train) 0.7409 | Acc(val) 0.8850 |
Epoch 00143 | Loss(train) 0.7988 | Acc(train) 0.7355 | Acc(val) 0.8797 |
Epoch 00144 | Loss(train) 0.7068 | Acc(train) 0.7516 | Acc(val) 0.8636 |
Epoch 00145 | Loss(train) 0.7113 | Acc(train) 0.7560 | Acc(val) 0.8797 |
Epoch 00146 | Loss(train) 0.7238 | Acc(train) 0.7382 | Acc(val) 0.8824 |
Epoch 00147 | Loss(train) 0.7117 | Acc(train) 0.7453 | Acc(val) 0.8797 |
Epoch 00148 | Loss(train) 0.6743 | Acc(train) 0.7631 | Acc(val) 0.8824 |
Epoch 00149 | Loss(train) 0.7236 | Acc(train) 0.7631 | Acc(val) 0.8797 |
Epoch 00150 | Loss(train) 0.7187 | Acc(train) 0.7489 | Acc(val) 0.8824 |
Epoch 00151 | Loss(train) 0.7320 | Acc(train) 0.7507 | Acc(val) 0.8850 |
Epoch 00152 | Loss(train) 0.6982 | Acc(train) 0.7516 | Acc(val) 0.8797 |
Epoch 00153 | Loss(train) 0.6936 | Acc(train) 0.7720 | Acc(val) 0.8824 |
