  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00160 | Loss(train) 0.6308 | Acc(train) 0.7907 | Acc(val) 0.8479 |
Epoch 00161 | Loss(train) 0.6407 | Acc(train) 0.7819 | Acc(val) 0.8509 |*
Epoch 00162 | Loss(train) 0.6392 | Acc(train) 0.7907 | Acc(val) 0.8499 |
Epoch 00163 | Loss(train) 0.6537 | Acc(train) 0.7798 | Acc(val) 0.8479 |
Epoch 00164 | Loss(train) 0.6136 | Acc(train) 0.7893 | Acc(val) 0.8479 |
Epoch 00165 | Loss(train) 0.6261 | Acc(train) 0.7900 | Acc(val) 0.8489 |
Epoch 00166 | Loss(train) 0.6435 | Acc(train) 0.7836 | Acc(val) 0.8448 |
Epoch 00167 | Loss(train) 0.6456 | Acc(train) 0.7880 | Acc(val) 0.8489 |
Epoch 00168 | Loss(train) 0.6409 | Acc(train) 0.7829 | Acc(val) 0.8398 |
Epoch 00169 | Loss(train) 0.6359 | Acc(train) 0.7825 | Acc(val) 0.8499 |
Epoch 00170 | Loss(train) 0.6373 | Acc(train) 0.7883 | Acc(val) 0.8479 |
Epoch 00171 | Loss(train) 0.6233 | Acc(train) 0.7927 | Acc(val) 0.8519 |*
Epoch 00172 | Loss(train) 0.6282 | Acc(train) 0.7934 | Acc(val) 0.8458 |
Epoch 00173 | Loss(train) 0.6368 | Acc(train) 0.7839 | Acc(val) 0.8398 |
Epoch 00174 | Loss(train) 0.6450 | Acc(train) 0.7873 | Acc(val) 0.8489 |
Epoch 00175 | Loss(train) 0.6253 | Acc(train) 0.7900 | Acc(val) 0.8509 |
Epoch 00176 | Loss(train) 0.6326 | Acc(train) 0.7937 | Acc(val) 0.8489 |
Epoch 00177 | Loss(train) 0.6408 | Acc(train) 0.7883 | Acc(val) 0.8519 |
Epoch 00178 | Loss(train) 0.6389 | Acc(train) 0.7903 | Acc(val) 0.8438 |
Epoch 00179 | Loss(train) 0.6469 | Acc(train) 0.7768 | Acc(val) 0.8458 |
Epoch 00180 | Loss(train) 0.6295 | Acc(train) 0.7863 | Acc(val) 0.8509 |
Epoch 00181 | Loss(train) 0.6325 | Acc(train) 0.7893 | Acc(val) 0.8570 |*
Epoch 00182 | Loss(train) 0.6419 | Acc(train) 0.7944 | Acc(val) 0.8560 |
Epoch 00183 | Loss(train) 0.6340 | Acc(train) 0.7880 | Acc(val) 0.8489 |
Epoch 00184 | Loss(train) 0.6239 | Acc(train) 0.8008 | Acc(val) 0.8469 |
Epoch 00185 | Loss(train) 0.6233 | Acc(train) 0.7900 | Acc(val) 0.8448 |
Epoch 00186 | Loss(train) 0.6289 | Acc(train) 0.7944 | Acc(val) 0.8519 |
Epoch 00187 | Loss(train) 0.6391 | Acc(train) 0.7842 | Acc(val) 0.8499 |
Epoch 00188 | Loss(train) 0.6344 | Acc(train) 0.7771 | Acc(val) 0.8469 |
Epoch 00189 | Loss(train) 0.6222 | Acc(train) 0.7748 | Acc(val) 0.8509 |
Epoch 00190 | Loss(train) 0.6204 | Acc(train) 0.7917 | Acc(val) 0.8519 |
Epoch 00191 | Loss(train) 0.6250 | Acc(train) 0.7920 | Acc(val) 0.8509 |
Epoch 00192 | Loss(train) 0.6255 | Acc(train) 0.7832 | Acc(val) 0.8509 |
Epoch 00193 | Loss(train) 0.6230 | Acc(train) 0.7832 | Acc(val) 0.8499 |
Epoch 00194 | Loss(train) 0.6345 | Acc(train) 0.7869 | Acc(val) 0.8509 |
Epoch 00195 | Loss(train) 0.6156 | Acc(train) 0.7991 | Acc(val) 0.8509 |
Epoch 00196 | Loss(train) 0.6213 | Acc(train) 0.7984 | Acc(val) 0.8499 |
Epoch 00197 | Loss(train) 0.6307 | Acc(train) 0.7913 | Acc(val) 0.8458 |
Epoch 00198 | Loss(train) 0.6163 | Acc(train) 0.8015 | Acc(val) 0.8469 |
Epoch 00199 | Loss(train) 0.6320 | Acc(train) 0.7863 | Acc(val) 0.8489 |
Epoch 00200 | Loss(train) 0.6175 | Acc(train) 0.7937 | Acc(val) 0.8550 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'CaGCN', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 500, 'out_dim': 3}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 105.01 MB
GPU Memory Reserved: 214.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.0940 | Acc(train) 0.4075 | Acc(val) 0.3945 |*
Epoch 00002 | Loss(train) 1.0900 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00003 | Loss(train) 1.0869 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00004 | Loss(train) 1.0841 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00005 | Loss(train) 1.0808 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00006 | Loss(train) 1.0774 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00007 | Loss(train) 1.0746 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00008 | Loss(train) 1.0712 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00009 | Loss(train) 1.0683 | Acc(train) 0.4075 | Acc(val) 0.3945 |
Epoch 00010 | Loss(train) 1.0643 | Acc(train) 0.4078 | Acc(val) 0.3945 |
Epoch 00011 | Loss(train) 1.0611 | Acc(train) 0.4072 | Acc(val) 0.3945 |
Epoch 00012 | Loss(train) 1.0580 | Acc(train) 0.4072 | Acc(val) 0.3945 |
