  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00080 | Loss(train) 1.4798 | Acc(train) 0.4649 | Acc(val) 0.5361 |*
Epoch 00081 | Loss(train) 1.4817 | Acc(train) 0.3928 | Acc(val) 0.5361 |
Epoch 00082 | Loss(train) 1.4442 | Acc(train) 0.4509 | Acc(val) 0.5361 |
Epoch 00083 | Loss(train) 1.4258 | Acc(train) 0.4629 | Acc(val) 0.5422 |*
Epoch 00084 | Loss(train) 1.4660 | Acc(train) 0.4549 | Acc(val) 0.5542 |*
Epoch 00085 | Loss(train) 1.4514 | Acc(train) 0.4529 | Acc(val) 0.5663 |*
Epoch 00086 | Loss(train) 1.5150 | Acc(train) 0.4349 | Acc(val) 0.5663 |
Epoch 00087 | Loss(train) 1.4832 | Acc(train) 0.4168 | Acc(val) 0.5542 |
Epoch 00088 | Loss(train) 1.4159 | Acc(train) 0.4529 | Acc(val) 0.5361 |
Epoch 00089 | Loss(train) 1.4345 | Acc(train) 0.4770 | Acc(val) 0.5663 |
Epoch 00090 | Loss(train) 1.4040 | Acc(train) 0.4870 | Acc(val) 0.5723 |*
Epoch 00091 | Loss(train) 1.3947 | Acc(train) 0.4910 | Acc(val) 0.6084 |*
Epoch 00092 | Loss(train) 1.3557 | Acc(train) 0.5070 | Acc(val) 0.6265 |*
Epoch 00093 | Loss(train) 1.3880 | Acc(train) 0.4609 | Acc(val) 0.6205 |
Epoch 00094 | Loss(train) 1.4179 | Acc(train) 0.4790 | Acc(val) 0.6205 |
Epoch 00095 | Loss(train) 1.3885 | Acc(train) 0.4489 | Acc(val) 0.6205 |
Epoch 00096 | Loss(train) 1.3913 | Acc(train) 0.4950 | Acc(val) 0.6084 |
Epoch 00097 | Loss(train) 1.3490 | Acc(train) 0.5090 | Acc(val) 0.5964 |
Epoch 00098 | Loss(train) 1.3925 | Acc(train) 0.4910 | Acc(val) 0.5783 |
Epoch 00099 | Loss(train) 1.4278 | Acc(train) 0.5030 | Acc(val) 0.5904 |
Epoch 00100 | Loss(train) 1.3590 | Acc(train) 0.5070 | Acc(val) 0.5783 |
Epoch 00101 | Loss(train) 1.3698 | Acc(train) 0.5010 | Acc(val) 0.5723 |
Epoch 00102 | Loss(train) 1.3494 | Acc(train) 0.5331 | Acc(val) 0.5723 |
