  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Exp 0/10
************************************
Start fitting model
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'GATS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.95, 'cal_hidden_dim': 8}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 16, 'dropout': 0.5, 'norm': None, 'in_dim': 1433, 'out_dim': 7}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.0005, 'patience': None})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 79.94 MB
GPU Memory Reserved: 110.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 1.9339 | Acc(train) 0.2783 | Acc(val) 0.2889 |*
Epoch 00002 | Loss(train) 1.9278 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00003 | Loss(train) 1.9200 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00004 | Loss(train) 1.9129 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00005 | Loss(train) 1.9100 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00006 | Loss(train) 1.9035 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00007 | Loss(train) 1.9015 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00008 | Loss(train) 1.8893 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00009 | Loss(train) 1.8832 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00010 | Loss(train) 1.8863 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00011 | Loss(train) 1.8764 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00012 | Loss(train) 1.8729 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00013 | Loss(train) 1.8659 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00014 | Loss(train) 1.8619 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00015 | Loss(train) 1.8605 | Acc(train) 0.2783 | Acc(val) 0.2889 |
